journal_name,publisher,areas,issn,abs_level,ft50,utd24,abdc,sjr,impact_factor,journal_weight
The Journal of Industrial Economics,Wiley-Blackwell Publishing,Economics,0022-1821;1467-6451,3,0,0,A*,,1.417,10.59
Insurance: Mathematics & Economics,Elsevier,Finance,0167-6687;1873-5959,3,0,0,A*,,1.341,10.56
Games and Economic Behavior,Elsevier,Economics,0899-8256;1090-2473,3,0,0,A*,,1.323,10.55
Journal of Computational and Graphical Statistics,Taylor & Francis Online,General Business & Economics,1061-8600;1537-2715,3,0,0,A*,,1.3,10.54
Journal of Financial Econometrics,Oxford University Press,Econometrics,1479-8409;1479-8417,3,0,0,A*,,1.158,10.48
Gender and Society,Sage Publications,Strategy,0891-2432;1552-3977,3,0,0,A*,,1.09,10.45
Journal of Hospitality and Tourism Management,Elsevier,Tourism & Hospitality Management,1447-6770;1839-5260,2,0,0,A*,,8.514,10.21
British Tax Review,Sweet & Maxwell,General Business & Economics,0007-1870,3,0,0,A*,,0.0,10.0
Tourism Management Perspectives,Elsevier,Tourism & Hospitality Management,2211-9736;2211-9744,2,0,0,A*,,6.392,9.33
International Journal of Project Management,Elsevier,Strategy,0263-7863;1873-4634,2,0,0,A*,,5.598,9.0
ASTIN Bulletin,Cambridge University Press,Finance,0515-0361;1783-1350,2,0,0,A*,,1.767,7.4
Journal of Management Accounting Research,American Accounting Association,Accounting,1049-2127;1558-8033,2,0,0,A*,,1.266,7.19
American Journal of Health Economics,MIT Press,Economics,2332-3493;2332-3507,2,0,0,A*,,1.016,7.09
Critical Finance Review,Now Publishers,Finance,2164-5744;2164-5760,1,0,0,A*,,3.7,4.88
